dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,1005 EDA,1006 EDA,1097 Informatik EDA
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,1,Nahrungsmittel und Getränke,,16602352.6,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,2,Textilien und Bekleidung,,221869,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,4,"Maschinen, Rüstungsgüter und Verteidigungseinr. inkl. W+R",263202.35,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,5,Medizinische Produkte und Pharmabereich,,598082.96,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,6,Transport-DL (Güter- und Personentransporte) sowie Hotels,292152.55,16466607.9,6763.8
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,6.1,"Transportdienstleistungen, Güter und Waren",46956.5,3380119.76,485
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",245196.05,13086488.14,6278.8
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl. W+R",,1118746.44,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,8,Güter und DL im Zusammenh. mit Sport und Erholung inkl. W+R,,1140.5,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger des Bundes",,14824.36,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R",,16467.67,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,12,Büro- und Raumausstattung zivile Verwaltung inkl. W+R,,35460.73,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R,18827.65,439759.16,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,205523.13,1977969.29,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,15,Informatik und Telekommunikationsmittel inkl. W+R,,5104839.65,51220.47
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,15.1,Hardware,,3286220.78,39876.34
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,15.2,Software inkl. Lizenzen,,248392.58,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,15.3,Telekommunikation,,757368.11,10435.08
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,15.4,SW-Pflege und HW Wartung,,812858.18,909.05
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,18,Dienstleistungen,1122366.53,31724382.01,703223.17
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,1024004.05,17483593.44,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,11279617.87,692804.47
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,18.3,Beratungs-DL für Management und Organisation sowie Coaching,56413.71,777039.19,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,18.4,Informationsarbeit,,500648,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,18.5,Sprach- und Übersetzungsdienstleistungen,41948.77,1683483.51,10418.7
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,19,Zivile Bauten,3885.77,7642602.35,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,0,Unknown,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",447732.96,190665642.4,536.55
