dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BLV,IVI,BBT,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,1,Nahrungsmittel und Getränke,12651.24,57154.6,517928.1,23250.7,55544.85,89771.9,,,7593.65,,,,43370.6,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,2,Textilien und Bekleidung,,,40546.95,,14995.31,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,3,"Heizöl, Benzin, Treibstoffe, Chemie ",,,588495.34,1357.55,8839.63,,,83.15,,673.05,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,4,"Rüstungsgüter, Waffen, Schutz /Verteidigungseinr inkl W+R1) -.",1094.25,20717.6,4587764.33,30667.35,234419.96,,,,3364.2,,69006.95,2694.4,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,4.2,Maschinen und Apparate,1094.25,20717.6,4587764.33,30667.35,234419.96,,,,3364.2,,69006.95,2694.4,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,5,Medizinische Produkte und Pharmabereich,,,3347893.51,,642454.78,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,6,Transport-DL und Leistungen der Bundesreisezentrale,104071.58,454430.74,772128.15,165870.45,15334.35,262317.14,33429.25,52861.55,64889.02,1074539.5,2143594.09,23943.55,64008.51,19486.68
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl W+R1) .",,,353890.48,,,,,,,,21001.35,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger ",33924.45,90431.14,509940.69,213033.45,7245.12,59162.18,6341.8,21022.2,47084.51,5868.4,194940.28,2124.43,74569.7,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,10,"Büromatik, inkl Präsentationstechnik, Zubehör inkl W+R1) ..",,,6089.05,,,1592,,,8443.61,,38689.43,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,11,Kopiertechnik inkl. Wartung und Reparatur,,,1082.54,324,,,,,,,47121.9,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,12,Büro und Raumausstattung zivile Verwaltung inkl W+R1) -.,,918,81771.98,18693.75,1977.15,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,13,Bürobedarf inkl Papier und EDV-Verbrauchsmaterial inkl W+R1) .,6206.61,8846.53,353950.02,17318.56,200785.77,935.25,841.32,7437.08,5761.26,1896.1,15907.48,1364.05,3230.26,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,34613,98943.8,449892.33,105913.45,4772.4,132661.2,6676.65,56156.05,22021.7,241996.75,297249.55,4085.2,261,11273.8
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,15,Informatik und Telekommunikationsmittel inkl W+R1) .,9073373.52,3388188.47,1567001.93,2069019.1,28726.7,187746.74,343453.6,31342,13904.85,1254612.2,3008714.04,1267295.74,2679,567.15
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,15.1,Hardware,2545206.72,61319.85,460711.72,483.75,22722.85,71244.1,178.2,25588.35,9743.65,617289.2,42091.96,507092.34,,567.15
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,15.2,Software,190,2720433.65,228422.35,1610770.4,,21319.7,93994.4,1303.75,2052,632670.1,,12158.65,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,15.3,Telekommunikation,,,,7480.85,,,249281,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,15.4,SW-Pflege und HW Wartung,6527976.8,606434.97,877867.86,450284.1,6003.85,95182.94,,4449.9,2109.2,4652.9,2966622.08,748044.75,2679,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,17,"DL, notwendig für Bereitst., Betrieb, Unterhalt der Güter ",,,,,3391.8,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,18,Dienstleistungen,1477816.25,9504401.73,1602732.26,1892129.94,73124.87,4383798.69,193300.55,814571.75,75076.72,1125464.2,13429659.29,3376709.18,631922,2295352.7
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,18.1,Allgemeine Beratungs-Dienstleistung,210907.5,546360.97,443624.3,327514.51,53043.49,1563927.49,124862.15,499794.15,34782.9,254186.55,6353981.4,145845.05,533029.05,1910642.65
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,18.2,Informatikdienstleistungen,1161366.61,4887176.32,646567,1052000.05,2440.8,600353.35,32916.75,280084.85,26534.1,66145,4248535.84,3139443.83,41502.65,384710.05
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,18.3,"Betriebswirt. Beratungs-DL (Mgmt.beratung, Org. und Coach.) ",94158.29,3445684.15,237135.62,177248.43,17640.58,1281977.7,33684.55,23334,8259.72,777141.95,2405121.32,91420.3,44848.9,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,0,Unknown,18.4,Öffentlichkeitsarbeit und Kampagnen,,559305.85,35885.85,2025,,638799.85,,10758.75,,,,,,
