dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EFD,EFV,ZAS,swissmint,ESTV,EZV,BIT,EFK,EPA,BBL,SIF,ISB
EFD,Eidgenössisches Finanzdepartement,2012,0,Unknown,1,Nahrungsmittel und Getränke,,27000.35,10950.5,,102865.1,12707.45,,,89362.6,78.95,11364.7,
EFD,Eidgenössisches Finanzdepartement,2012,0,Unknown,2,Textilien und Bekleidung,,,,2477.7,,1295616.71,,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,0,Unknown,3,"Heizöl, Benzin, Treibstoffe, Chemie",,,,28885.7,,1896136.69,,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,0,Unknown,4,"Maschinen, Rüstungsgüter und Verteidigungseinr. inkl. W+R",,,123703.2,785244.69,,20905125.4,,,,827.35,,
EFD,Eidgenössisches Finanzdepartement,2012,0,Unknown,5,Medizinische Produkte und Pharmabereich,,,,,,742603.83,,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,0,Unknown,6,Transport-DL (Güter- und Personentransporte) sowie Hotels,93523.53,144228.35,245901.92,17083.64,1251304.41,4568356.25,615655.74,224608.83,50703.55,1596826.17,547476.9,84128.47
EFD,Eidgenössisches Finanzdepartement,2012,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl. W+R",,,,,,2157374.38,24000,,,148804.82,,
EFD,Eidgenössisches Finanzdepartement,2012,0,Unknown,8,Güter und DL im Zusammenh. mit Sport und Erholung inkl. W+R,,,,,,157511.92,,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger des Bundes",53684.53,81535.45,101835.44,33625.35,15678.95,545004.2,81924.85,181927.4,550634.7,34895335.69,14035.21,55055.1
EFD,Eidgenössisches Finanzdepartement,2012,0,Unknown,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R",,,,,,29952.46,1564.7,,,7248900.54,,
EFD,Eidgenössisches Finanzdepartement,2012,0,Unknown,11,Kopiertechnik inkl. Wartung und Reparatur,,,,,,96194.52,,,,12422007.23,,
EFD,Eidgenössisches Finanzdepartement,2012,0,Unknown,12,Büro- und Raumausstattung zivile Verwaltung inkl. W+R,,,,,,65034.47,56.4,,,18230044.89,,
