dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,BAFU,ARE,GS-UVEK,BAV,BAZL,BFE,ASTRA,BAKOM,SUST,RegInfra
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,1,Nahrungsmittel und Getränke,,83383.7,9956,64443.7,3273.7,9512.68,,72570,592.5,13539.65
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,2,Textilien und Bekleidung,,,4122.65,7199,1566,,10688.6,,8229.32,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,3,"Heizöl, Benzin, Treibstoffe, Chemie",,,,,176213.22,54,,30811.9,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,4,"Maschinen, Rüstungsgüter und Verteidigungseinr. inkl. W+R1)",1136489.51,,,72.9,,1593.4,962926.56,315604.58,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,4.2,Maschinen und Apparate,1136489.51,,,72.9,,1593.4,962926.56,315604.58,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,6,Transport-DL (Güter- und Personentransporte) sowie Hotels,1181889.95,111960.41,182140.1,444958.05,1585818.27,406455.32,431411.94,657528.7,58456.65,323166.75
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl. W+R1)",50722.35,,19479.8,,1127321.31,,,15594.1,83710.75,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger des Bundes",101505.64,23554.67,39768.95,277644.97,153966.17,217082.18,313788.83,129106.49,980.25,30013.9
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R1)",,113412.8,,,2005.65,186.25,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,12,Büro- und Raumausstattung zivile Verwaltung inkl. W+R1),,,,,,,,76827.65,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R1),,,,,7623.11,,11.8,3747.55,260.05,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,196297.35,14874.65,118589.15,156225.95,92373.15,130100.6,457333,117842.1,41177.55,27338.44
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,15,Informatik und Telekommunikationsmittel inkl. W+R1),1017096.91,112490.35,33665.15,335819.95,321982.97,,27913704.77,730595.45,28308.55,74051
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,15.1,Hardware,,,13123.55,44188.7,162,,14845.45,26245.44,10497.55,15074.9
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,15.2,Software inkl. Lizenzen,,,,8246.4,,,24267748.97,20494.34,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,15.3,Telekommunikation,,,,,,,,7654.6,,29.9
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,15.4,SW-Pflege und HW Wartung,1017096.91,112490.35,20541.6,283384.85,321820.97,,3631110.35,676201.07,17811,58946.2
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,17,"DL, notwendig für  Bereitst., Betrieb, Unterhalt der Güter",781597.05,6831,,,,2128,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,18,Dienstleistungen,34347231.98,3453165.15,1574154.21,5500679,5614884.76,31189011.71,27242880.21,2908194.2,2225153.39,559485.75
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,30920271.82,2901513.86,274020.85,4050295.94,2801784.48,26250904.61,17227872.16,1381674.75,2123307.11,301273
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,1110503.82,324.2,1134597,867479.35,,495731.62,7539595.39,1298003.9,,217964.25
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,18.3,Beratungs-DL für Management und Organisation sowie Coaching,893351.8,99261.5,81239.53,383347.76,1200419.55,406925.75,62777.74,86170.05,101846.28,40248.5
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,18.4,Informationsarbeit,649334.2,166253.29,,9495.4,1540572.58,3553902.99,2150422.3,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,18.5,Sprach- und Übersetzungsdienstleistungen,773770.34,285812.3,84296.83,190060.55,72108.15,481546.74,262212.62,142345.5,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,19,Zivile Bauten,,,39147.05,1813,,100,629182.32,770243.04,1865.4,6276.8
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,21,Bauten Nationalstrassen (ASTRA),,,,,,,1078673407,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,0,Unknown,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",11078177.81,465585.34,174720.36,291115.53,12507969.43,2221529.81,2431058.49,256011.86,239517.67,316567.01
