dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BLV,IVI,BBT,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480008192,IBM (Schweiz) AG,15.4,SW-Pflege und HW Wartung,6512288.6,,499018.42,,,,,,,,81129.6,188501.95,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480008192,IBM (Schweiz) AG,15.1,Hardware,2402846.55,,427.95,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480008192,IBM (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,197658.46,81411.8,8164.8,,,,,,,,,8640,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480008192,IBM (Schweiz) AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,,37082.85,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480008192,IBM (Schweiz) AG,15.2,Software inkl. Lizenzen,,32568.6,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480008192,IBM (Schweiz) AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,6160.05,,,,,,,,,,8975.45,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,52880,638631.15,1632.55,,108811.45,,,,975475.55,474508.5,,,12359.05
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480683648,Schweizerische Bundesbahnen SBB,6.1,"Transportdienstleistungen, Güter und Waren",41451.45,164104.3,,68681.65,7807.3,60858.35,30658.9,52751.55,27179.45,79472.45,,19390.75,42731.05,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,8479.7,10521.05,,19536.25,,,,,,,1109.35,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480256135,TSM Treuhand GmbH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,2884809.45,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482842911,Bedag Informatik AG,15.2,Software inkl. Lizenzen,,400839.75,,1289396.3,,,,,,233103.6,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482842911,Bedag Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,168069.45,,331328.1,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482842911,Bedag Informatik AG,15.4,SW-Pflege und HW Wartung,,,,304396.65,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,9937.93,59885.81,1020.8,,87406.3,2664.35,,,,1583845.52,,,6900.05
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482207235,AirPlus International AG,6.1,"Transportdienstleistungen, Güter und Waren",60537.25,167058.5,,70563.2,6819.4,1437,,,34043.15,,,4552.8,19827.55,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482207235,AirPlus International AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,1277.8,1584.24,11647.95,,,,,,,,,,7999.3
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482207235,AirPlus International AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,1205.4,,,214.85,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480945877,AWK Group AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,962321.55,,,,,,,,,104352.95,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480945877,AWK Group AG,15.2,Software inkl. Lizenzen,,869332.05,,75042.2,,,,,,20139.2,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480945877,AWK Group AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,64276.9,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480945877,AWK Group AG,1,Nahrungsmittel und Getränke,,,,23250.7,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,486508146,"PLANVAL, Oekonomie-Oekologie- Raumplanung AG",18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,,1702400,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480232263,Elca Informatique SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,53369.6,99074.45,,,149567.05,,,,,716904,,,267840
