dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BLV,IVI,BBT,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480232263,Elca Informatique SA,15.4,SW-Pflege und HW Wartung,,,,,,18036,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480232263,Elca Informatique SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,,,,15948.9
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480232263,Elca Informatique SA,15.2,Software inkl. Lizenzen,,,7289.1,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480162945,Innovation Process Technology AG IT-Beratung,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,32811.55,157454.7,,23892.75,,,,,,,,502475.95,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480162945,Innovation Process Technology AG IT-Beratung,15.2,Software inkl. Lizenzen,,445245.5,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480162945,Innovation Process Technology AG IT-Beratung,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,12592.05,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480162945,Innovation Process Technology AG IT-Beratung,18.3,Beratungs-DL für Management und Organisation sowie Coaching,270,,,,,,,,,,,2651.4,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482522427,Die Schweizerische Post Service Center Finanzen Mitte,14.1,Postdienste,14179.7,98278.85,188824.45,105046.45,642.8,132593.45,6176.65,55781.15,22021.7,241996.75,266121.75,76,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482522427,Die Schweizerische Post Service Center Finanzen Mitte,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,5029.8,7250.2,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482025678,AREVA T&D AG Mittelspannungstechnik,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,,,,1049267.1,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,483223603,Xtreme Consulting GmbH,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,781391.95,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482791659,Edorex Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,,,,739181.8,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480600142,nhs informatik gmbh,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,109775,217815.55,,129883,,,,,,,,21367.5,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480600142,nhs informatik gmbh,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,69914.2,,19626.6,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480600142,nhs informatik gmbh,15.4,SW-Pflege und HW Wartung,,60434.1,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,485286566,Topten International Services GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,600000,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,328437913,KPS Documents GmbH,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,450170.75,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,328437913,KPS Documents GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,,,121504.75,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480007855,Unisys (Schweiz) AG,15.1,Hardware,,,,,,,,,,408610.25,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480007855,Unisys (Schweiz) AG,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,,84764.9,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480007855,Unisys (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,14060.05,,,,17670,,18360,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480460914,Basler & Hofmann AG Ingenieure und Planer,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,533285.5,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,485983308,Ernst Basler + Partner AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,2833.9,,,,,,,,,316259.7,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,485983308,Ernst Basler + Partner AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,118059.93,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,485983308,Ernst Basler + Partner AG,15.2,Software inkl. Lizenzen,,91296.7,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,485983308,Ernst Basler + Partner AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,4700,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,262301314,Sàrl JPW Advisory James Weaver,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,532733.64,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,485993091,cR Kommunikation,18.4,Informationsarbeit,,,,,,518400,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,481207269,ITpearls AG,15.2,Software inkl. Lizenzen,,253905.2,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,481207269,ITpearls AG,15.4,SW-Pflege und HW Wartung,,165659,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,481207269,ITpearls AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,66330,,,,,,,,,,26832.45,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,481207269,ITpearls AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1620,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,483437211,MicroStrategy Schweiz AG,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,508835.56,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482451965,Acceleris GmbH,15.1,Hardware,,,,,,,,,,,,287429.55,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482451965,Acceleris GmbH,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,,137770.65,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482451965,Acceleris GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,,,,75390.35,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,316360049,Martin Christ Gefriertrocknungsanlagen GmbH,4.2,Maschinen und Apparate,,,493212.75,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,316360049,Martin Christ Gefriertrocknungsanlagen GmbH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,1239.75,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480216030,econcept AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,51376.6,,434596.7,,,,,,,,2160
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480216030,econcept AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,5000,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,486123862,Keane Schweiz AG,15.4,SW-Pflege und HW Wartung,,119189.4,,82093.8,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,486123862,Keane Schweiz AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,20720.3,133733.15,,,,,,,,12687.4,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,486123862,Keane Schweiz AG,15.2,Software inkl. Lizenzen,,,,72227.4,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,486123862,Keane Schweiz AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,31546.65,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,481838001,APP Unternehmensberatung AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,62990.6,,,,,,,,,,64583.6
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,481838001,APP Unternehmensberatung AG,15.2,Software inkl. Lizenzen,,,,108758.8,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,481838001,APP Unternehmensberatung AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,62982.7,,,,,7180.55,33412.8,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,481838001,APP Unternehmensberatung AG,15.4,SW-Pflege und HW Wartung,,,,51022.8,,,,,,,8748,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,481838001,APP Unternehmensberatung AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,51710.4,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,481143691,Link Marketing Services AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,82372.4,,,,351815.4,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480822068,Fabasoft CH Software AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,77756.4,,,,,19286.75,,,,,,246398.54,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480822068,Fabasoft CH Software AG,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,,79650,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,480822068,Fabasoft CH Software AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,,,8532,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,483248357,Atos AG,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,429956.55,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,486900335,Erni Consulting AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,52968.95,,,,,,,348927.65,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,486900335,Erni Consulting AG,15.2,Software inkl. Lizenzen,,,,8921,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482789724,AdNovum Informatik AG,15.2,Software inkl. Lizenzen,,278563.8,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482789724,AdNovum Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,28168.55,,,,,,,,,,26984.45,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482789724,AdNovum Informatik AG,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,,41400,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482789724,AdNovum Informatik AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,,,8100,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,488363672,PG EB St. Gallen c/o Ernst Basler + Partner AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,355726,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482340957,Interlabor Belp AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,103.7,348570.55,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482340957,Interlabor Belp AG,5,Medizinische Produkte und Pharmabereich,,,2829.6,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,488286444,Mundi Consulting AG Postfach,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,301426.3,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,488286444,Mundi Consulting AG Postfach,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,24999.35,,,,,,,,25000
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,485177331,Softtec AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,340642.6,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,405100871,Swets Information Services B.V.,9.1,"Bundespublikationen, Drucksachen",,,213664.79,,,,,,,,10761.99,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,405100871,Swets Information Services B.V.,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R,,,71218.38,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,405100871,Swets Information Services B.V.,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,41572.66,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482705535,National Coalition Building Institute Schweiz,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,260104,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482705535,National Coalition Building Institute Schweiz,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,66350,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482417607,Blanc - Labo S.A.,4.2,Maschinen und Apparate,,,286087.55,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482417607,Blanc - Labo S.A.,19.4,"Zivile Bauten, Betrieb Immobilien",,,13531.4,,,,,,,,7943.1,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482417607,Blanc - Labo S.A.,5,Medizinische Produkte und Pharmabereich,,,1590.85,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2011,482417607,Blanc - Labo S.A.,3.2,Chemie,,,329.4,,,,,,,,,,,
