dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EDI,EBG,BAR,BAK,MeteoSchweiz,BAG,BFS,BSV,SBF,NB
EDI,Eidgenössisches Departement des Innern,2011,481143691,Link Marketing Services AG,14.1,Postdienste,,,,,,,3123.55,,,
EDI,Eidgenössisches Departement des Innern,2011,481143691,Link Marketing Services AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,10473695.7,,,
EDI,Eidgenössisches Departement des Innern,2011,482340312,Wirz Werbung AG(ZKB),18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,530000,,,,
EDI,Eidgenössisches Departement des Innern,2011,482340312,Wirz Werbung AG(ZKB),18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,977126.4,,,,
EDI,Eidgenössisches Departement des Innern,2011,482340312,Wirz Werbung AG(ZKB),18.4,Informationsarbeit,,,,,,3017122.65,,,,
EDI,Eidgenössisches Departement des Innern,2011,488131277,Manpower SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,1280951,,,,
EDI,Eidgenössisches Departement des Innern,2011,488131277,Manpower SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,2306428.8,,,,76469.7
EDI,Eidgenössisches Departement des Innern,2011,488131277,Manpower SA,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,40686.85,,,,
EDI,Eidgenössisches Departement des Innern,2011,481088086,Kelly Services (Suisse) SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,7427.45,,,
EDI,Eidgenössisches Departement des Innern,2011,481088086,Kelly Services (Suisse) SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,2939621.5,,,
EDI,Eidgenössisches Departement des Innern,2011,482832115,La Poste Suisse Réseau postal et vente,14.1,Postdienste,,,,,2498,,2198918.35,,,
EDI,Eidgenössisches Departement des Innern,2011,482832115,La Poste Suisse Réseau postal et vente,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,487,,,,,
EDI,Eidgenössisches Departement des Innern,2011,480193184,Gfk Switzerland AG,9.1,"Bundespublikationen, Drucksachen",,,,,,,605.8,,,
EDI,Eidgenössisches Departement des Innern,2011,480193184,Gfk Switzerland AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,151.2,,,,,2029035.35,,,
EDI,Eidgenössisches Departement des Innern,2011,480193184,Gfk Switzerland AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,5032.8,,,,4779,,,24732,,
EDI,Eidgenössisches Departement des Innern,2011,480193184,Gfk Switzerland AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,2262.6,,36163.8,,
EDI,Eidgenössisches Departement des Innern,2011,481363729,MIS Trend SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,33000,2062201.25,,,
EDI,Eidgenössisches Departement des Innern,2011,480676931,EURAD AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,778786.8,,,,
EDI,Eidgenössisches Departement des Innern,2011,480676931,EURAD AG,18.4,Informationsarbeit,,,,,,1229855.6,,,,
EDI,Eidgenössisches Departement des Innern,2011,488547563,Nitrochemie Wimmis AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,14289.05
EDI,Eidgenössisches Departement des Innern,2011,488547563,Nitrochemie Wimmis AG,18.5,Sprach- und Übersetzungsdienstleistungen,,,457759,,,,,,,
EDI,Eidgenössisches Departement des Innern,2011,488547563,Nitrochemie Wimmis AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,84350.65,,,,,,,1107235.9
EDI,Eidgenössisches Departement des Innern,2011,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,7454.85,14113.9,118897.2,,263852.3,397663.86,159585.3,110397,71139.5
EDI,Eidgenössisches Departement des Innern,2011,480683648,Schweizerische Bundesbahnen SBB,9.1,"Bundespublikationen, Drucksachen",,,,,,,,,,60
EDI,Eidgenössisches Departement des Innern,2011,480683648,Schweizerische Bundesbahnen SBB,15.3,Telekommunikation,,,,,1504.4,,,,,
EDI,Eidgenössisches Departement des Innern,2011,480683648,Schweizerische Bundesbahnen SBB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,1351.1,55635,,,
EDI,Eidgenössisches Departement des Innern,2011,480683648,Schweizerische Bundesbahnen SBB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,4400.8,,,375,43.2
EDI,Eidgenössisches Departement des Innern,2011,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",32844.85,,800,948.2,259596.8,39132.75,,62056.45,521.35,
EDI,Eidgenössisches Departement des Innern,2011,480193374,Demoscope Research & Marketing,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,39960,1260858.55,,,
EDI,Eidgenössisches Departement des Innern,2011,480193374,Demoscope Research & Marketing,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,6048,200000,,,
EDI,Eidgenössisches Departement des Innern,2011,480193374,Demoscope Research & Marketing,18.4,Informationsarbeit,,,,,,16785.6,,,,
EDI,Eidgenössisches Departement des Innern,2011,481843717,Spillmann / Felser / Leo Burnett AG Werbeagentur,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,475589.9,,,,
EDI,Eidgenössisches Departement des Innern,2011,481843717,Spillmann / Felser / Leo Burnett AG Werbeagentur,18.4,Informationsarbeit,,,,,,1024360.15,,,,
EDI,Eidgenössisches Departement des Innern,2011,482020240,"IBSF Institut für Begleit- und Sozialforschung, Dr. Max Müll",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,1412320,,,,
EDI,Eidgenössisches Departement des Innern,2011,317802882,Selex Sistemi Integrati GmbH,4.2,Maschinen und Apparate,,,,,1332406.45,,,,,
EDI,Eidgenössisches Departement des Innern,2011,317802882,Selex Sistemi Integrati GmbH,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,1365.38,,,,,
EDI,Eidgenössisches Departement des Innern,2011,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,1208621.66,,,,,
EDI,Eidgenössisches Departement des Innern,2011,480758879,Infras AG Forschung und Beratung,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,36750,,,,300770,74728.15,20000,,
EDI,Eidgenössisches Departement des Innern,2011,480758879,Infras AG Forschung und Beratung,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,196497.6,401915.2,,,
EDI,Eidgenössisches Departement des Innern,2011,480758879,Infras AG Forschung und Beratung,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,120,81028,,
EDI,Eidgenössisches Departement des Innern,2011,480498104,Meteolabor AG,4.2,Maschinen und Apparate,,,,,425636.38,,,,,
