dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BBT,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI,SBFI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480232263,Elca Informatique SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,98613.2,6804,,,,,513565.1,64005.4,,180719.1,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480232263,Elca Informatique SA,15.4,SW-Pflege und HW Wartung,,,394,,,,,,296253,,,23760,26136
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480232263,Elca Informatique SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,28150.2,,,118536.75,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482522427,Die Schweizerische Post Service Center Finanzen Mitte,14.1,Postdienste,32190.1,120285.3,194912.85,9108.8,11895.55,31360.5,26401.1,271456.2,251792,72,,16814.9,99993.65
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482522427,Die Schweizerische Post Service Center Finanzen Mitte,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,4364.7,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480613780,RealStuff Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,,1061525.25,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482084667,UNIKAT KOMMUNIKATIONSAGEN,18.4,Informationsarbeit,,,,,,,,,,,,,1050000
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480794049,Compass Group (Schweiz) SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,977451.4,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480794049,Compass Group (Schweiz) SA,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,281.5,,,,,,,7322.55,,,9775.45
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480794049,Compass Group (Schweiz) SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,1281,,,,,,,,2124.15
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480634620,Tierverkehrsdatenbank AG Indentitas AG,15.4,SW-Pflege und HW Wartung,,718598.15,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480634620,Tierverkehrsdatenbank AG Indentitas AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,193238.2,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480634620,Tierverkehrsdatenbank AG Indentitas AG,18.4,Informationsarbeit,,2242.95,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480634620,Tierverkehrsdatenbank AG Indentitas AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,190.25,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,481207269,ITpearls AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,155362.45,,1302,,,,,119853.05,22191,,,119029.47
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,481207269,ITpearls AG,15.4,SW-Pflege und HW Wartung,,380667.25,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482705535,National Coalition Building Institute Schweiz,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,775408,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480162945,Innovation Process Technology AG IT-Beratung,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,79363.15,,,,,,,,491297.24,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480162945,Innovation Process Technology AG IT-Beratung,15.4,SW-Pflege und HW Wartung,,79821.89,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480162945,Innovation Process Technology AG IT-Beratung,15.2,Software inkl. Lizenzen,,,,,,,,,,39960,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480162945,Innovation Process Technology AG IT-Beratung,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,3240,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,472598234,ACE International Consultants,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,,649150.2,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,485896828,ETH Zürich Finanzabteilung,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,264099.4,,,,,,337280,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,485896828,ETH Zürich Finanzabteilung,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,31634.55,,,,,,4563.75,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,485896828,ETH Zürich Finanzabteilung,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,3000,,,,,,5560,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,485896828,ETH Zürich Finanzabteilung,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,400,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,485896828,ETH Zürich Finanzabteilung,2.2,Bekleidung,,,365.05,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,485896828,ETH Zürich Finanzabteilung,15.4,SW-Pflege und HW Wartung,,,313.2,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,485896828,ETH Zürich Finanzabteilung,5,Medizinische Produkte und Pharmabereich,,,7,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,483223603,Xtreme Consulting GmbH,15.4,SW-Pflege und HW Wartung,,,,,,,,,596574,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482791659,Edorex Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,,574377.55,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480945877,AWK Group AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,74377.2,,,,,,,162655.1,247507.15,,34407.45,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480945877,AWK Group AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,,36396,
