dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BLV,IVI,BBT,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,486508146,"PLANVAL, Oekonomie-Oekologie- Raumplanung AG",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,2637320.2,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,486508146,"PLANVAL, Oekonomie-Oekologie- Raumplanung AG",18.3,Beratungs-DL für Management und Organisation sowie Coaching,,340,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,486508146,"PLANVAL, Oekonomie-Oekologie- Raumplanung AG",22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,180,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,21495.15,93231.44,8243.95,,88955.05,,,,,1913359.74,,,28954
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482207235,AirPlus International AG,6.1,"Transportdienstleistungen, Güter und Waren",55968.95,161327.92,,54422.1,8546.42,,,,46732.45,,671,2869.9,29911.45,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482207235,AirPlus International AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,1397.8,,,2642.78,,,,3896.2,,,6918.75
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482207235,AirPlus International AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,2664.2,,,,1484.7,,,,,410.9,,2121.25
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,481196111,FELA Planungs AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,2054665.23,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,507435241,Roland Berger Strategy Consultants,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,1861654.63,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482842911,Bedag Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,656355.2,,28465.05,,,,,,,,22037.1,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482842911,Bedag Informatik AG,15.2,Software inkl. Lizenzen,,,,258171.4,,,,,,258535.05,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482842911,Bedag Informatik AG,15.4,SW-Pflege und HW Wartung,,267264.25,,227169.05,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482842911,Bedag Informatik AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,1557.8,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,850513517,"CCECC, China civil engineering construction corporation",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,1294267.77,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,557735960,Oriental Construction Company Ltd.,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,,,,1270195.61,,,
