dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,Bundeskanzlei
BK,Schweizerische Bundeskanzlei,2012,481426823,Schweiz. Depeschenagentur AG,18.4,Informationsarbeit,3678066.85
BK,Schweizerische Bundeskanzlei,2012,480822068,Fabasoft CH Software AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,249447.06
BK,Schweizerische Bundeskanzlei,2012,480822068,Fabasoft CH Software AG,15.4,SW-Pflege und HW Wartung,46285.13
BK,Schweizerische Bundeskanzlei,2012,482687147,GFS.Bern Forsch.Politik Kommunikation+Gesellsch.,18.4,Informationsarbeit,257580
BK,Schweizerische Bundeskanzlei,2012,481838001,APP Unternehmensberatung AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,218397.6
BK,Schweizerische Bundeskanzlei,2012,480936165,Global IT AG,15.1,Hardware,199190.9
BK,Schweizerische Bundeskanzlei,2012,480936165,Global IT AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,1834.55
BK,Schweizerische Bundeskanzlei,2012,484457734,Trivadis AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,97091.8
BK,Schweizerische Bundeskanzlei,2012,484457734,Trivadis AG,15.4,SW-Pflege und HW Wartung,83237.15
BK,Schweizerische Bundeskanzlei,2012,484121194,Finanzverwaltung des Kantons Graubü,18.5,Sprach- und Übersetzungsdienstleistungen,120285.9
BK,Schweizerische Bundeskanzlei,2012,483451902,Jeanmaire & Michel AG,18.5,Sprach- und Übersetzungsdienstleistungen,96120
BK,Schweizerische Bundeskanzlei,2012,484075239,Wistar Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,86610.95
BK,Schweizerische Bundeskanzlei,2012,487375479,Solutionpark AG,15.4,SW-Pflege und HW Wartung,79515.01
BK,Schweizerische Bundeskanzlei,2012,481607575,Swisscom IT Services AG New Industry Development,15.1,Hardware,51681.75
BK,Schweizerische Bundeskanzlei,2012,481607575,Swisscom IT Services AG New Industry Development,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,25875.7
BK,Schweizerische Bundeskanzlei,2012,487755340,Avataris AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,75387.5
BK,Schweizerische Bundeskanzlei,2012,480849392,Puzzle ITC GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,72878.4
BK,Schweizerische Bundeskanzlei,2012,481311145,"Rexult AG Informatik, Unternehmensberatung",18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,69502.15
BK,Schweizerische Bundeskanzlei,2012,482721862,POHN IT-Consulting GmbH,15.4,SW-Pflege und HW Wartung,68626.8
BK,Schweizerische Bundeskanzlei,2012,482004975,Socom,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,64800
BK,Schweizerische Bundeskanzlei,2012,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",58349.55
BK,Schweizerische Bundeskanzlei,2012,480683648,Schweizerische Bundesbahnen SBB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,1204.55
BK,Schweizerische Bundeskanzlei,2012,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",648
BK,Schweizerische Bundeskanzlei,2012,482522427,Die Schweizerische Post Service Center Finanzen Mitte,14.1,Postdienste,58459.8
BK,Schweizerische Bundeskanzlei,2012,485553015,Notch Interactive GmbH,18.4,Informationsarbeit,56848
BK,Schweizerische Bundeskanzlei,2012,484633693,Elefant Studios AG,18.4,Informationsarbeit,55572.5
BK,Schweizerische Bundeskanzlei,2012,481215320,Zeix AG,18.4,Informationsarbeit,54937.5
BK,Schweizerische Bundeskanzlei,2012,483646233,Hinderling Volkart,18.4,Informationsarbeit,52488
BK,Schweizerische Bundeskanzlei,2012,480008192,IBM (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,52462.05
BK,Schweizerische Bundeskanzlei,2012,482747909,Infoteam SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,50072.55
BK,Schweizerische Bundeskanzlei,2012,482777500,OS Objectif Sécurité SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,30157.95
BK,Schweizerische Bundeskanzlei,2012,482777500,OS Objectif Sécurité SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,17431.2
BK,Schweizerische Bundeskanzlei,2012,480957302,Nexplore AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,40631.2
BK,Schweizerische Bundeskanzlei,2012,480957302,Nexplore AG,15.4,SW-Pflege und HW Wartung,4500
BK,Schweizerische Bundeskanzlei,2012,400550701,legitech,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,42000
BK,Schweizerische Bundeskanzlei,2012,481051121,prospective media services pms AG Dienstleistungen Human Res,9.1,"Bundespublikationen, Drucksachen",40942.4
BK,Schweizerische Bundeskanzlei,2012,483473187,Hotel Allegro Bern AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,40688.1
BK,Schweizerische Bundeskanzlei,2012,481114986,Swiss Post Solutions AG,14.1,Postdienste,39620.5
BK,Schweizerische Bundeskanzlei,2012,484927327,Liquidbit Software + IT Services,15.4,SW-Pflege und HW Wartung,39475
BK,Schweizerische Bundeskanzlei,2012,480014468,Swisscom (Schweiz) AG,15.4,SW-Pflege und HW Wartung,37260
BK,Schweizerische Bundeskanzlei,2012,482073371,ACE Project Services AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,37033.2
BK,Schweizerische Bundeskanzlei,2012,485486377,Ecoplan AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,34999
BK,Schweizerische Bundeskanzlei,2012,376011354,MultiCorpora International Inc.,15.4,SW-Pflege und HW Wartung,33402.5
BK,Schweizerische Bundeskanzlei,2012,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",30251.64
BK,Schweizerische Bundeskanzlei,2012,482207235,AirPlus International AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,1642.75
BK,Schweizerische Bundeskanzlei,2012,480301576,ecmt GmbH,15.4,SW-Pflege und HW Wartung,20250
BK,Schweizerische Bundeskanzlei,2012,480301576,ecmt GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,6750
