dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,swisstopo,ar Beschaffung,ar Immo,ar W+T,BASPO,BABS,GS-VBS,V
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,485582589,RUAG Schweiz AG,0,Non disponible,,102000,3716000,,,,988000,373829000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480411870,RUAG Electronics AG,0,Non disponible,,224000,9000,,,1529000,,167276000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480024384,Thales-Amper-Rheinmetall-Consortium (TARC),0,Non disponible,,,,,,,,63072000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,315619072,Iveco-Magirus AG,0,Non disponible,,,,,,,,55570000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480412035,RUAG Munition AG,0,Non disponible,,,3000,68000,,3000,,55491000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,0,Non disponible,45000,,1076000,,,,,39103000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,481935765,Air Total (Suisse) SA,0,Non disponible,,,,,,,,38396000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,482386989,RUAG Ammotec AG,0,Non disponible,,84000,,5000,,,,35482000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,481833460,Saltech AG Sicherheitssystemen,0,Non disponible,,,,,,,,30509000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,485584648,Siemens IT Solutions and Services AG,0,Non disponible,,,,,,29048000,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,482134587,swenex - swiss energy exchange Ltd,0,Non disponible,,,1451000,,,401000,,26239000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,483248357,Atos AG,0,Non disponible,,,,,,,,26785000
