dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,swisstopo,ar Beschaffung,ar Immo,ar W+T,BASPO,BABS,GS-VBS,V
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480213412,Mowag GmbH A General Dynamics Company,0,Non disponible,,,,,,,94000,26587000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,329978469,EADS Deutschland GmbH,0,Non disponible,,,,,,,,23361000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,315871020,Rheinmetall Defence Electronics GmbH,0,Non disponible,,7000,517000,,,,,22151000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480936165,Global IT AG,0,Non disponible,191000,35000,,362000,,22000,,21280000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,483483855,RWM Schweiz AG,0,Non disponible,,,,,,,,20279000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,484017889,Implenia Bau AG,0,Non disponible,,,17443000,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480007764,BP (SWITZERLAND) AG,0,Non disponible,,,,,,,,15596000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480014468,Swisscom (Schweiz)  AG,0,Non disponible,53000,,2995000,13000,100000,57000,,12360000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,481429983,PSA Finance Suisse SA,0,Non disponible,,646000,,,2000,,,13698000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480697783,Novo Business Consultants AG,0,Non disponible,19000,280000,19000,46000,,44000,,12629000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480628601,Mercedes-Benz Schweiz AG ein Unternehmen der Daymler AG,0,Non disponible,,622000,,,,,,12261000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,488858598,Itelligence AG Unternehmensberatung,0,Non disponible,,89000,42000,,,,28000,9654000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480232263,Elca Informatique SA,0,Non disponible,,,,,,,,9646000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,483923962,Saab Bofors Dynamics Schweiz AG,0,Non disponible,,,,13000,,,,9617000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,332610646,Schuberth GmbH,0,Non disponible,,,,,,,,9589000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,484550389,AMAG Automobil- und Motoren AG Teile und Zubehör,0,Non disponible,,3754000,,,2000,,,5758000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480640705,Notter Armin AG Konstruktionswerkstätte,0,Non disponible,,,,,,,,9429000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,481020550,Pilatus Aircraft Ltd.,0,Non disponible,,,,,,,,8834000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,481660400,Swisscom Broadcast AG,0,Non disponible,,,8354000,,,33000,,236000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,481189269,Schweiz. Bundesbahnen SBB Cargo AG,0,Non disponible,,848000,,,,,,7773000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,481887987,BearingPoint Switzerland AG Unternehmensberatung,0,Non disponible,,,,,,,,8564000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480007426,Alcatel-Lucent Schweiz AG,0,Non disponible,,,1117000,,,,,6789000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480387372,FHS Frech-Hoch AG Carrosseriewerk,0,Non disponible,,,,,,,,7612000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,508619434,Recipharm AB (publ),0,Non disponible,,,,,,,,7527000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,487982324,Grisoni-Zaugg SA génie-civil-bâtiments,0,Non disponible,,,7382000,,,,,9000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480311596,VOGT AG Oberdiessbach,0,Non disponible,,,25000,,,5000,,7291000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,481390052,Pfäffli H.R. AG Techn. Lederwaren,0,Non disponible,,34000,,,,,,7216000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,480056068,Hess AG Carrosserie,0,Non disponible,,,,,,,,7103000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,0,Non disponible,-308000,-6725000,-44149000,-507000,-104000,-31142000,-1110000,-1214601000
