dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI,SBFI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482204232,Technopark Luzern,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,1166.4,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482522427,Swiss Post International Logistics AG / General Parcel,14.1,Postdienste,30830.65,115770.15,79043,11618.15,36609.4,20665.15,289884.25,247365.55,25,,13245.6,226040.85
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482522427,Swiss Post International Logistics AG / General Parcel,5,Medizinische Produkte und Pharmabereich,,,413.85,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482705535,National Coalition Building Institute Schweiz,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,1033496,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480794049,Compass Group (Schweiz) SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,975582.9,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480794049,Compass Group (Schweiz) SA,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,736,6771.2,,481.1,50.65
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480794049,Compass Group (Schweiz) SA,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,1702.4,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480794049,Compass Group (Schweiz) SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,179.5,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,484731026,Kiwi Consultants GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,409109.38,,297958.85,80144.5
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,484731026,Kiwi Consultants GmbH,15.4,SW-Pflege und HW Wartung,,177061.85,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,484731026,Kiwi Consultants GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,11392,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,483223603,Xtreme Consulting GmbH,15.4,SW-Pflege und HW Wartung,,,,,,,,957018.03,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,481143691,Link Marketing Services AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,630359.55,,,,,,,,,,321942.6
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,481143691,Link Marketing Services AG,14.1,Postdienste,,1576.8,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480697783,Novo Business Consultants AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,723343.15,,,,,,,49232.4,43066.6,,101594.3,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480697783,Novo Business Consultants AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,24195.75,,,,,,1775,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,481207269,ITpearls AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,395593.91,,,,,,5369.35,23534.1,,,55951.62
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,481207269,ITpearls AG,15.4,SW-Pflege und HW Wartung,,330341.2,,,,,,17777.87,,,,4082.4
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,481207269,ITpearls AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,,21345.1
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,481207269,ITpearls AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,10764.4,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,481660400,Swisscom Broadcast AG,15.3,Telekommunikation,,,,845567.65,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482084667,UNIKAT KOMMUNIKATIONSAGEN,18.4,Informationsarbeit,,,,,,,,,,,,843688.4
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480162945,Innovation Process Technology AG IT-Beratung,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,71676.91,,,,,,,728821.46,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480162945,Innovation Process Technology AG IT-Beratung,15.4,SW-Pflege und HW Wartung,,31316.87,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480162945,Innovation Process Technology AG IT-Beratung,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,97.2,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,483052309,STANDING OVATION GMBH Forum der Schweiz. Aussen,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,,,780405.95
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480613780,RealStuff Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,733303.8,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480945877,AWK Group AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,84952.8,,,,,,408429.2,,159322.95,
