dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EDI,EBG,BAR,BAK,MeteoSchweiz,BAG,BFS,BSV,SBF,BVET,IVI,NB
EDI,Eidgenössisches Departement des Innern,2013,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",21372.8,7180.5,16198.25,128388.9,280821.9,264421.47,360022.4,190428.05,1285.4,83689.45,18958.85,4929.5
EDI,Eidgenössisches Departement des Innern,2013,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",662.4,,,543.95,22663.8,16802.85,,5800,,,30.15,
EDI,Eidgenössisches Departement des Innern,2013,480683648,Schweizerische Bundesbahnen SBB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,5416.08,648,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480683648,Schweizerische Bundesbahnen SBB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,3100.65,,
EDI,Eidgenössisches Departement des Innern,2013,480683648,Schweizerische Bundesbahnen SBB,15.3,Telekommunikation,,,,,1528.4,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,481088086,Kelly Services (Suisse) SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,1405305.75,,,,,
EDI,Eidgenössisches Departement des Innern,2013,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,1346412.33,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,15.4,SW-Pflege und HW Wartung,,,,,10854,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,488547563,Nitrochemie Wimmis AG,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,624291.2,,,,,,,,,624835.3
EDI,Eidgenössisches Departement des Innern,2013,488547563,Nitrochemie Wimmis AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,,4887
