deptDe,year,idSupplier,intCategory,officeDe,amount
BK,2012,0,6,Bundeskanzlei,139167.35
BK,2012,0,2,Bundeskanzlei,21568.3
BK,2012,0,22,Bundeskanzlei,320891.72
BK,2012,0,14,Bundeskanzlei,267.3
BK,2013,481426823,18,Bundeskanzlei,3135315.65
BK,2013,482687147,18,Bundeskanzlei,419580.00
BK,2013,483451902,18,Bundeskanzlei,189520.00
BK,2013,486909807,15,Bundeskanzlei,180775.82
BK,2013,481838001,18,Bundeskanzlei,167815.80
BK,2013,481838001,18,Bundeskanzlei,8640.00
BK,2013,484457734,18,Bundeskanzlei,113077.00
BK,2013,484457734,15,Bundeskanzlei,60531.90
BK,2013,487375479,15,Bundeskanzlei,143513.56
BK,2013,487375479,18,Bundeskanzlei,9914.90
BK,2013,483646233,18,Bundeskanzlei,129384.00
BK,2013,480802409,15,Bundeskanzlei,71828.10
BK,2013,480802409,18,Bundeskanzlei,53280.00
BK,2013,537708422,18,Bundeskanzlei,105720.00
BK,2013,537708422,15,Bundeskanzlei,11700.00
BK,2013,480930044,18,Bundeskanzlei,77124.15
BK,2013,484121194,18,Bundeskanzlei,73599.75
BK,2013,482747909,18,Bundeskanzlei,61199.80
BK,2013,482747909,15,Bundeskanzlei,9224.45
BK,2013,432091913,18,Bundeskanzlei,66825.00
BK,2013,483393042,18,Bundeskanzlei,65482.80
BK,2013,480683648,6,Bundeskanzlei,64870.25
BK,2013,480683648,18,Bundeskanzlei,216.00
BK,2013,480683648,18,Bundeskanzlei,129.60
BK,2013,482721862,15,Bundeskanzlei,54228.60
BK,2013,483353053,18,Bundeskanzlei,45000.00
BK,2013,483353053,18,Bundeskanzlei,8259.80
BK,2013,483637224,18,Bundeskanzlei,52520.00
BK,2013,481114986,14,Bundeskanzlei,51666.00
BK,2013,376011354,15,Bundeskanzlei,48262.80
BK,2013,376011354,15,Bundeskanzlei,3240.00
BK,2013,484633693,18,Bundeskanzlei,50936.10
BK,2013,482522427,14,Bundeskanzlei,50881.10
BK,2013,480008192,18,Bundeskanzlei,50229.00
BK,2013,485129519,18,Bundeskanzlei,47822.40
BK,2013,486134013,18,Bundeskanzlei,47500.00
BK,2013,480822068,18,Bundeskanzlei,46656.00
BK,2013,484105635,18,Bundeskanzlei,39997.00
BK,2013,483473187,18,Bundeskanzlei,39189.10
BK,2013,481051121,22,Bundeskanzlei,38790.75
BK,2013,481229529,18,Bundeskanzlei,36702.65
BK,2013,481076537,18,Bundeskanzlei,34560.00
BK,2013,481076537,22,Bundeskanzlei,1500.00
BK,2013,488909037,18,Bundeskanzlei,34560.00
BK,2013,482207235,6,Bundeskanzlei,33495.73
BK,2013,486620250,18,Bundeskanzlei,29586.60
BK,2013,486620250,15,Bundeskanzlei,3240.00
BK,2013,733909030,18,Bundeskanzlei,29599.20
BK,2013,486307119,15,Bundeskanzlei,28571.05
BK,2013,482073371,18,Bundeskanzlei,25223.40
BK,2013,482073371,18,Bundeskanzlei,2964.60
BK,2013,480301576,15,Bundeskanzlei,27000.00
BK,2013,481906613,18,Bundeskanzlei,19051.20
BK,2013,481906613,18,Bundeskanzlei,3547.80
BK,2013,481906613,22,Bundeskanzlei,2673.00
BK,2013,0,18,Bundeskanzlei,897698.08
BK,2013,0,15,Bundeskanzlei,286439.05
BK,2013,0,6,Bundeskanzlei,131651.74
BK,2013,0,2,Bundeskanzlei,33178.5
BK,2013,0,22,Bundeskanzlei,214732.65
BK,2013,0,14,Bundeskanzlei,577.3
BK,2014,481426823,18,Bundeskanzlei,2539800.35
BK,2014,481838001,18,Bundeskanzlei,285973.2
BK,2014,481838001,18,Bundeskanzlei,78462
BK,2014,484115741,18,Bundeskanzlei,300000
BK,2014,482687147,18,Bundeskanzlei,261900
BK,2014,486134013,18,Bundeskanzlei,162860
BK,2014,486134013,18,Bundeskanzlei,22458.4
BK,2014,487375479,15,Bundeskanzlei,154420.3
BK,2014,487375479,18,Bundeskanzlei,22275
BK,2014,482004975,18,Bundeskanzlei,175753.8
BK,2014,481698967,18,Bundeskanzlei,154396.8
BK,2014,484457734,18,Bundeskanzlei,95180.9
BK,2014,484457734,15,Bundeskanzlei,52440.6
BK,2014,484121194,18,Bundeskanzlei,114885.7
BK,2014,482898082,18,Bundeskanzlei,83912.5
BK,2014,480945877,18,Bundeskanzlei,65269.8
BK,2014,480683648,6,Bundeskanzlei,60208
BK,2014,480683648,18,Bundeskanzlei,372.6
BK,2014,537708422,15,Bundeskanzlei,37805
BK,2014,537708422,18,Bundeskanzlei,19800
BK,2014,482249182,18,Bundeskanzlei,56624.5
BK,2014,481853559,15,Bundeskanzlei,49720.8
BK,2014,481853559,15,Bundeskanzlei,4895.1
BK,2014,482522427,14,Bundeskanzlei,47844.8
BK,2014,481114986,14,Bundeskanzlei,47804.5
BK,2014,483353053,18,Bundeskanzlei,40500
BK,2014,483353053,22,Bundeskanzlei,1370
BK,2014,482747909,18,Bundeskanzlei,24170.4
BK,2014,482747909,15,Bundeskanzlei,16965.95
BK,2014,482752065,18,Bundeskanzlei,34560
BK,2014,482752065,6,Bundeskanzlei,1927.65
BK,2014,484789594,18,Bundeskanzlei,33523.2
BK,2014,480301576,15,Bundeskanzlei,27000
BK,2014,480301576,18,Bundeskanzlei,6080.85
BK,2014,480802409,15,Bundeskanzlei,15822.1
BK,2014,480802409,18,Bundeskanzlei,13680
BK,2014,376011354,15,Bundeskanzlei,23507.5
BK,2014,376011354,15,Bundeskanzlei,4211.25
BK,2014,482207235,6,Bundeskanzlei,20466.5
BK,2014,482207235,18,Bundeskanzlei,4888.65
BK,2014,484927327,15,Bundeskanzlei,22220
BK,2014,484927327,18,Bundeskanzlei,2655
BK,2014,342619347,18,Bundeskanzlei,24187.44
BK,2014,480910665,18,Bundeskanzlei,23868
BK,2014,481051121,22,Bundeskanzlei,23035.2
BK,2014,480580922,18,Bundeskanzlei,12960
BK,2014,480580922,22,Bundeskanzlei,9458.65
BK,2014,482073371,18,Bundeskanzlei,22113
BK,2014,485553015,18,Bundeskanzlei,20442.2
BK,2014,486307119,15,Bundeskanzlei,20214
BK,2014,481286305,18,Bundeskanzlei,19950
BK,2014,486945715,15,Bundeskanzlei,19774.2
BK,2014,486346398,6,Bundeskanzlei,18557.6
BK,2014,480567093,18,Bundeskanzlei,14250.4
BK,2014,480567093,15,Bundeskanzlei,3736.8
BK,2014,482777500,18,Bundeskanzlei,17690.4
BK,2014,481369825,18,Bundeskanzlei,17415
BK,2014,481369825,22,Bundeskanzlei,54
BK,2014,0,18,Bundeskanzlei,526148.4
BK,2014,0,8,Bundeskanzlei,6648.5
BK,2014,0,22,Bundeskanzlei,292083.54
BK,2014,0,15,Bundeskanzlei,149792.34
BK,2014,0,6,Bundeskanzlei,142518.81
BK,2014,0,2,Bundeskanzlei,25443.3
BK,2014,0,17,Bundeskanzlei,3286.6
BK,2014,0,14,Bundeskanzlei,400.45
EDA,2011,482207235,6,1005 EDA,4427821.76
EDA,2011,482207235,6,1006 EDA,4737218.04
EDA,2011,482207235,6,1006 EDA,20811.3
EDA,2011,482207235,6,1097 Informatik EDA,225798.59
EDA,2011,482207235,22,1006 EDA,3648.25
EDA,2011,482207235,9,1006 EDA,2580.6
EDA,2011,481726032,18,1006 EDA,7648845
EDA,2011,481726032,22,1006 EDA,23470
EDA,2011,483156464,1,1006 EDA,7658006.48
EDA,2011,483156464,22,1006 EDA,39.6
EDA,2011,483961541,1,1006 EDA,5193227.09
EDA,2011,483961541,22,1006 EDA,1376.1
EDA,2011,480569508,1,1006 EDA,4130775
EDA,2011,317380939,18,1006 EDA,2500000
EDA,2011,354635682,18,1006 EDA,1893000
EDA,2011,480199694,18,1005 EDA,1865000
EDA,2011,483130055,18,1006 EDA,1000000
EDA,2011,483130055,6,1006 EDA,750000
EDA,2011,417526274,18,1006 EDA,1551500
EDA,2011,482653326,15,1097 Informatik EDA,1494081.9
EDA,2011,482653326,17,1006 EDA,1215
EDA,2011,482653326,15,1097 Informatik EDA,370.8
EDA,2011,484335864,18,1005 EDA,19348
EDA,2011,484335864,18,1006 EDA,1136577
EDA,2011,484335864,22,1006 EDA,76098.25
EDA,2011,484335864,6,1006 EDA,265
EDA,2011,482272718,15,1097 Informatik EDA,1044181.9
EDA,2011,482272718,18,1005 EDA,14633.95
EDA,2011,482272718,15,1097 Informatik EDA,8270.3
EDA,2011,482272718,17,1006 EDA,72.05
EDA,2011,480010516,14,1005 EDA,720000
EDA,2011,480010516,18,1005 EDA,305172.25
EDA,2011,480779271,22,1006 EDA,501074.6
EDA,2011,480779271,18,1006 EDA,474885
EDA,2011,480683648,6,1005 EDA,549173.5
EDA,2011,480683648,6,1006 EDA,257620
EDA,2011,480683648,18,1005 EDA,83700
EDA,2011,480683648,6,1005 EDA,16860
EDA,2011,480683648,6,1006 EDA,237.6
EDA,2011,480683648,6,1097 Informatik EDA,33126.5
EDA,2011,480683648,6,1112 BRZ,16597
EDA,2011,480683648,22,1006 EDA,11611.15
EDA,2011,480683648,22,1097 Informatik EDA,97.75
EDA,2011,483368353,14,1005 EDA,644344.19
EDA,2011,483368353,14,1006 EDA,131844.17
EDA,2011,483368353,22,1005 EDA,87493.91
EDA,2011,483368353,22,1006 EDA,1009.25
EDA,2011,483368353,6,1005 EDA,24724.37
EDA,2011,483368353,6,1006 EDA,110.5
EDA,2011,483368353,18,1005 EDA,5316
EDA,2011,483368353,14,1005 EDA,3909.03
EDA,2011,483368353,18,1005 EDA,3459.95
EDA,2011,483368353,6,1005 EDA,1769.35
EDA,2011,483368353,6,1006 EDA,768.25
EDA,2011,483368353,15,1097 Informatik EDA,138.2
EDA,2011,483368353,13,1006 EDA,76.75
EDA,2011,485596209,18,1005 EDA,530317.49
EDA,2011,485596209,6,1005 EDA,357268.6
EDA,2011,483422945,18,1006 EDA,740000
EDA,2011,482894953,14,1005 EDA,434395
EDA,2011,482894953,14,1006 EDA,15071.9
EDA,2011,482894953,22,1005 EDA,178099.3
EDA,2011,482894953,22,1006 EDA,737
EDA,2011,482894953,6,1005 EDA,76977.85
EDA,2011,482894953,14,1005 EDA,1935.8
EDA,2011,482894953,18,1005 EDA,43.25
EDA,2011,830731431,19,1005 EDA,704000
EDA,2011,482522427,14,1005 EDA,367643.3
EDA,2011,482522427,14,1006 EDA,252160.8
EDA,2011,367107781,22,1006 EDA,558078.82
EDA,2011,367107781,17,1006 EDA,41322.16
EDA,2011,3126867080,18,1006 EDA,580000
EDA,2011,484701461,18,1006 EDA,564871.1
EDA,2011,484701461,22,1006 EDA,14778.65
EDA,2011,482935140,6,1005 EDA,474504.3
EDA,2011,482935140,6,1006 EDA,44134.6
EDA,2011,482935140,22,1005 EDA,6929.8
EDA,2011,482935140,18,1005 EDA,949.4
EDA,2011,480371447,18,1006 EDA,500000
EDA,2011,488197112,18,1005 EDA,345519.7
EDA,2011,488197112,18,1006 EDA,153995.09
EDA,2011,488197112,18,1005 EDA,378
EDA,2011,482504016,6,1005 EDA,167154.65
EDA,2011,482504016,6,1006 EDA,143031.2
EDA,2011,482504016,22,1005 EDA,160129.6
EDA,2011,482504016,22,1006 EDA,26365.1
EDA,2011,482504016,14,1006 EDA,991.4
EDA,2011,482504016,18,1005 EDA,327.65
EDA,2011,482908394,18,1006 EDA,429347
EDA,2011,482908394,22,1006 EDA,35341.2
EDA,2011,482908394,6,1006 EDA,25386
